slang,formal,category,length
kekk,kayak,abreviasi,4
tauuuu,tau,elongasi,6
kepad,kepada,abreviasi,5
gr2,gara-gara,abreviasi,3
gamau,enggak mau,akronim,5
pdahal,padahal,abreviasi,6
tkut,takut,abreviasi,4
sud,sudah,abreviasi,3
scr,secara,abreviasi,3
kln,kalian,abreviasi,3
iu,itu,abreviasi,2
kepd,kepada,abreviasi,4
bnr,benar,abreviasi,3
flm,film,abreviasi,3
apaaan,apaan,elongasi,6
daaah,dah,elongasi,5
ituh,itu,anaptiksis,4
pulaa,pula,elongasi,5
apaa,apa,elongasi,4
ajahhh,saja,elongasi,6
bangt,banget,abreviasi,5
dimao,dimau,modifikasi vokal,5
udehh,sudah,zeroisasi,5
pkk,pakai,abreviasi,3
syang,sayang,abreviasi,5
shayyy,say,anaptiksis,6
shay,say,anaptiksis,4
sayyy,say,elongasi,5
shayy,say,abreviasi,5
hehh,eh,elongasi,4
kam,kamu,abreviasi,3
ade,adek,zeroisasi,3
luhhh,lu,anaptiksis,5
kayax,kayak,subtitusi,5
dblkng,dibelakang,abreviasi,6
atutt,takut,subtitusi,5
giniii,begini,abreviasi,6
kyax,kayak,abreviasi,4
z,saja,word-value letter,1
alu,aku,salah ketik,3
kox,kok,subtitusi,3
th,teh,abreviasi,2
bgmna,bagaimana,abreviasi,5
hdpn,hadapan,abreviasi,4
amu,kamu,abreviasi,3
tmn,teman,abreviasi,3
iih,ih,elongasi,3
laaaah,lah,elongasi,6
aned,banget,subtitusi,4
blh,boleh,abreviasi,3
lh,boleh,abreviasi,2
mrka,mereka,abreviasi,4
dmna,dimana,abreviasi,4
dripda,daripada,abreviasi,6
diem,diam,modifikasi vokal,4
tappi,tapi,elongasi,5
kalli,kali,elongasi,5
lluu,lu,elongasi,4
kaya'a,kayanya,pungtuasi,6
kitaa,kita,elongasi,5
tpii,tapi,abreviasi,4
do,di,salah ketik,2
ajjh,saja,abreviasi,4
drii,dari,abreviasi,4
may,mau,salah ketik,3
so,sok,zeroisasi,2
mst,mesti,abreviasi,3
add,ada,abreviasi,3
see,sih,subtitusi,3
in,ini,abreviasi,2
syng,sayang,abreviasi,4
sngt,sangat,abreviasi,4
wk,waktu,abreviasi,2
sdgkn,sedangkan,abreviasi,5
"apa""",apa-apa,reduplikasi,4
drpada,daripada,abreviasi,6
diemm,diam,modifikasi vokal,5
eey,eh,subtitusi,3
hny,hanya,abreviasi,3
apalai,apalagi,abreviasi,6
nyadar,menyadari,afiksasi,6
bka,buka,abreviasi,3
bebrp,beberapa,abreviasi,5
sblum,sebelum,abreviasi,5
babget,banget,salah ketik,6
ksyngn,kesayangan,abreviasi,6
haru,harus,abreviasi,4
beudd,banget,abreviasi,5
u,lu,word-value letter,1
gtuh,begitu,abreviasi,4
amohhh,kamu,anaptiksis,6
maau,mau,elongasi,4
eyke,aku,coinage,4
awk,awak,abreviasi,3
ngettt,banget,abreviasi,6
keak,kayak,subtitusi,4
beud,banget,abreviasi,4
shaay,say,anaptiksis,5
siapaa,siapa,elongasi,6
bw,bawa,abreviasi,2
yaaah,ya,elongasi,5
tgk,tengok,abreviasi,3
bkn,bikin,abreviasi,3
gituan,begituan,abreviasi,6
kaj,kak,salah ketik,3
sm2,sama-sama,reduplikasi,3
bets,banget,abreviasi,4
kaga,kagak,zeroisasi,4
uih,uh,anaptiksis,3
bgtuu,begitu,abreviasi,5
mff,maaf,abreviasi,3
trlalu,terlalu,abreviasi,6
suda,sudah,zeroisasi,4
kayaq,kayak,subtitusi,5
ema,emak,zeroisasi,3
yuh,tuh,salah ketik,3
loo,lo,elongasi,3
gnii,begini,abreviasi,4
tai,tahi,zeroisasi,3
gtw,enggak tau,afiksasi,3
qo,kok,subtitusi,2
disni,disini,abreviasi,5
keknya,kayaknya,abreviasi,6
tap8,tapi,salah ketik,4
yo,ya,modifikasi vokal,2
sihhhh,sih,elongasi,6
segtu,sebegitu,abreviasi,5
yya,ya,elongasi,3
atw,atau,subtitusi,3
kgak,kagak,abreviasi,4
ud,sudah,abreviasi,2
iyuh,ih,anaptiksis,4
bt,buat,abreviasi,2
pndang,pandang,abreviasi,6
mlh,malah,abreviasi,3
ktika,ketika,abreviasi,5
hbs,habis,abreviasi,3
kr,kira,abreviasi,2
mamas,mas,anaptiksis,5
nt,nanti,abreviasi,2
kenape,kenapa,modifikasi vokal,6
hat,hati,abreviasi,3
